ordinal,_key,_id,_from,_to,edge_family,edge_type,perspective,unique_id,references_table,references_column,weight,priority_weight,field_component,variable_name,origin,join_type
156,part_location:location_id:structural:system:has_column:SYS_HAS_PAR_LOC_001,manufacturing_graph_edge/part_location:location_id:structural:system:has_column:SYS_HAS_PAR_LOC_001,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:location_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_LOC_001,,,,,,,,
157,part_location:description:structural:system:has_column:SYS_HAS_PAR_DES_001,manufacturing_graph_edge/part_location:description:structural:system:has_column:SYS_HAS_PAR_DES_001,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:description:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_DES_001,,,,,,,,
158,part_location:qty:structural:system:has_column:SYS_HAS_PAR_QTY_001,manufacturing_graph_edge/part_location:qty:structural:system:has_column:SYS_HAS_PAR_QTY_001,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:qty:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_QTY_001,,,,,,,,
159,part_location:committed_qty:structural:system:has_column:SYS_HAS_PAR_COM_002,manufacturing_graph_edge/part_location:committed_qty:structural:system:has_column:SYS_HAS_PAR_COM_002,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:committed_qty:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_COM_002,,,,,,,,
160,part_location:status:structural:system:has_column:SYS_HAS_PAR_STA_001,manufacturing_graph_edge/part_location:status:structural:system:has_column:SYS_HAS_PAR_STA_001,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:status:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_STA_001,,,,,,,,
161,part_location:last_count_date:structural:system:has_column:SYS_HAS_PAR_LAS_001,manufacturing_graph_edge/part_location:last_count_date:structural:system:has_column:SYS_HAS_PAR_LAS_001,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:last_count_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_LAS_001,,,,,,,,
162,part_location:created_at:structural:system:has_column:SYS_HAS_PAR_CRE_002,manufacturing_graph_edge/part_location:created_at:structural:system:has_column:SYS_HAS_PAR_CRE_002,manufacturing_graph_node/part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_PAR_CRE_002,,,,,,,,
163,payable_line:payable_line_id:structural:system:has_column:SYS_HAS_PAY_PAY_001,manufacturing_graph_edge/payable_line:payable_line_id:structural:system:has_column:SYS_HAS_PAY_PAY_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:payable_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_PAY_001,,,,,,,,
164,payable_line:invoice_id:structural:system:has_column:SYS_HAS_PAY_INV_001,manufacturing_graph_edge/payable_line:invoice_id:structural:system:has_column:SYS_HAS_PAY_INV_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:invoice_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_INV_001,,,,,,,,
165,payable_line:line_no:structural:system:has_column:SYS_HAS_PAY_LIN_001,manufacturing_graph_edge/payable_line:line_no:structural:system:has_column:SYS_HAS_PAY_LIN_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:line_no:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_LIN_001,,,,,,,,
166,payable_line:po_id:structural:system:has_column:SYS_HAS_PAY_POI_001,manufacturing_graph_edge/payable_line:po_id:structural:system:has_column:SYS_HAS_PAY_POI_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:po_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_POI_001,,,,,,,,
167,payable_line:part_id:structural:system:has_column:SYS_HAS_PAY_PAR_001,manufacturing_graph_edge/payable_line:part_id:structural:system:has_column:SYS_HAS_PAY_PAR_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_PAR_001,,,,,,,,
168,payable_line:qty:structural:system:has_column:SYS_HAS_PAY_QTY_001,manufacturing_graph_edge/payable_line:qty:structural:system:has_column:SYS_HAS_PAY_QTY_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:qty:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_QTY_001,,,,,,,,
169,payable_line:amount:structural:system:has_column:SYS_HAS_PAY_AMO_001,manufacturing_graph_edge/payable_line:amount:structural:system:has_column:SYS_HAS_PAY_AMO_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_AMO_001,,,,,,,,
170,payable_line:created_at:structural:system:has_column:SYS_HAS_PAY_CRE_001,manufacturing_graph_edge/payable_line:created_at:structural:system:has_column:SYS_HAS_PAY_CRE_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_CRE_001,,,,,,,,
171,payable_line:po_line_id:structural:system:has_column:SYS_HAS_PAY_POL_001,manufacturing_graph_edge/payable_line:po_line_id:structural:system:has_column:SYS_HAS_PAY_POL_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:po_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_POL_001,,,,,,,,
172,payable_line:receipt_line_id:structural:system:has_column:SYS_HAS_PAY_REC_001,manufacturing_graph_edge/payable_line:receipt_line_id:structural:system:has_column:SYS_HAS_PAY_REC_001,manufacturing_graph_node/payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:receipt_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_REC_001,,,,,,,,
173,payables:invoice_id:structural:system:has_column:SYS_HAS_PAY_INV_003,manufacturing_graph_edge/payables:invoice_id:structural:system:has_column:SYS_HAS_PAY_INV_003,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:invoice_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_INV_003,,,,,,,,
174,payables:po_id:structural:system:has_column:SYS_HAS_PAY_POI_002,manufacturing_graph_edge/payables:po_id:structural:system:has_column:SYS_HAS_PAY_POI_002,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:po_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_POI_002,,,,,,,,
175,payables:supplier_id:structural:system:has_column:SYS_HAS_PAY_SUP_001,manufacturing_graph_edge/payables:supplier_id:structural:system:has_column:SYS_HAS_PAY_SUP_001,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:supplier_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_SUP_001,,,,,,,,
176,payables:invoice_number:structural:system:has_column:SYS_HAS_PAY_INV_004,manufacturing_graph_edge/payables:invoice_number:structural:system:has_column:SYS_HAS_PAY_INV_004,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:invoice_number:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_INV_004,,,,,,,,
177,payables:invoice_date:structural:system:has_column:SYS_HAS_PAY_INV_002,manufacturing_graph_edge/payables:invoice_date:structural:system:has_column:SYS_HAS_PAY_INV_002,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:invoice_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_INV_002,,,,,,,,
178,payables:due_date:structural:system:has_column:SYS_HAS_PAY_DUE_001,manufacturing_graph_edge/payables:due_date:structural:system:has_column:SYS_HAS_PAY_DUE_001,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:due_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_DUE_001,,,,,,,,
179,payables:amount_dollars:structural:system:has_column:SYS_HAS_PAY_AMO_002,manufacturing_graph_edge/payables:amount_dollars:structural:system:has_column:SYS_HAS_PAY_AMO_002,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:amount_dollars:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_AMO_002,,,,,,,,
180,payables:status:structural:system:has_column:SYS_HAS_PAY_STA_001,manufacturing_graph_edge/payables:status:structural:system:has_column:SYS_HAS_PAY_STA_001,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:status:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_STA_001,,,,,,,,
181,payables:payment_date:structural:system:has_column:SYS_HAS_PAY_PAY_002,manufacturing_graph_edge/payables:payment_date:structural:system:has_column:SYS_HAS_PAY_PAY_002,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:payment_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_PAY_002,,,,,,,,
182,payables:three_way_match_status:structural:system:has_column:SYS_HAS_PAY_THR_001,manufacturing_graph_edge/payables:three_way_match_status:structural:system:has_column:SYS_HAS_PAY_THR_001,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:three_way_match_status:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_THR_001,,,,,,,,
183,payables:created_at:structural:system:has_column:SYS_HAS_PAY_CRE_002,manufacturing_graph_edge/payables:created_at:structural:system:has_column:SYS_HAS_PAY_CRE_002,manufacturing_graph_node/payables:entity:structural:system:none:none,manufacturing_graph_node/payables:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_PAY_CRE_002,,,,,,,,
184,po_line:line_id:structural:system:has_column:SYS_HAS_POL_LIN_001,manufacturing_graph_edge/po_line:line_id:structural:system:has_column:SYS_HAS_POL_LIN_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_LIN_001,,,,,,,,
185,po_line:po_id:structural:system:has_column:SYS_HAS_POL_POI_001,manufacturing_graph_edge/po_line:po_id:structural:system:has_column:SYS_HAS_POL_POI_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:po_id:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_POI_001,,,,,,,,
186,po_line:part_id:structural:system:has_column:SYS_HAS_POL_PAR_002,manufacturing_graph_edge/po_line:part_id:structural:system:has_column:SYS_HAS_POL_PAR_002,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_PAR_002,,,,,,,,
187,po_line:part_description:structural:system:has_column:SYS_HAS_POL_PAR_001,manufacturing_graph_edge/po_line:part_description:structural:system:has_column:SYS_HAS_POL_PAR_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:part_description:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_PAR_001,,,,,,,,
188,po_line:quantity:structural:system:has_column:SYS_HAS_POL_QUA_001,manufacturing_graph_edge/po_line:quantity:structural:system:has_column:SYS_HAS_POL_QUA_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:quantity:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_QUA_001,,,,,,,,
189,po_line:unit_cost:structural:system:has_column:SYS_HAS_POL_UNI_001,manufacturing_graph_edge/po_line:unit_cost:structural:system:has_column:SYS_HAS_POL_UNI_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:unit_cost:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_UNI_001,,,,,,,,
190,po_line:line_total:structural:system:has_column:SYS_HAS_POL_LIN_002,manufacturing_graph_edge/po_line:line_total:structural:system:has_column:SYS_HAS_POL_LIN_002,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:line_total:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_LIN_002,,,,,,,,
191,po_line:created_at:structural:system:has_column:SYS_HAS_POL_CRE_001,manufacturing_graph_edge/po_line:created_at:structural:system:has_column:SYS_HAS_POL_CRE_001,manufacturing_graph_node/po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_POL_CRE_001,,,,,,,,
192,purchase_order:po_id:structural:system:has_column:SYS_HAS_PUR_POI_001,manufacturing_graph_edge/purchase_order:po_id:structural:system:has_column:SYS_HAS_PUR_POI_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:po_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_POI_001,,,,,,,,
193,purchase_order:supplier_id:structural:system:has_column:SYS_HAS_PUR_SUP_001,manufacturing_graph_edge/purchase_order:supplier_id:structural:system:has_column:SYS_HAS_PUR_SUP_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:supplier_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_SUP_001,,,,,,,,
194,purchase_order:po_type:structural:system:has_column:SYS_HAS_PUR_POT_001,manufacturing_graph_edge/purchase_order:po_type:structural:system:has_column:SYS_HAS_PUR_POT_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:po_type:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_POT_001,,,,,,,,
195,purchase_order:po_date:structural:system:has_column:SYS_HAS_PUR_POD_001,manufacturing_graph_edge/purchase_order:po_date:structural:system:has_column:SYS_HAS_PUR_POD_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:po_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_POD_001,,,,,,,,
196,purchase_order:required_date:structural:system:has_column:SYS_HAS_PUR_REQ_001,manufacturing_graph_edge/purchase_order:required_date:structural:system:has_column:SYS_HAS_PUR_REQ_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:required_date:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_REQ_001,,,,,,,,
197,purchase_order:status:structural:system:has_column:SYS_HAS_PUR_STA_001,manufacturing_graph_edge/purchase_order:status:structural:system:has_column:SYS_HAS_PUR_STA_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:status:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_STA_001,,,,,,,,
198,purchase_order:total_cost:structural:system:has_column:SYS_HAS_PUR_TOT_001,manufacturing_graph_edge/purchase_order:total_cost:structural:system:has_column:SYS_HAS_PUR_TOT_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:total_cost:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_TOT_001,,,,,,,,
199,purchase_order:wo_id:structural:system:has_column:SYS_HAS_PUR_WOI_001,manufacturing_graph_edge/purchase_order:wo_id:structural:system:has_column:SYS_HAS_PUR_WOI_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:wo_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_WOI_001,,,,,,,,
200,purchase_order:service_id:structural:system:has_column:SYS_HAS_PUR_SER_001,manufacturing_graph_edge/purchase_order:service_id:structural:system:has_column:SYS_HAS_PUR_SER_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:service_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_SER_001,,,,,,,,
201,purchase_order:buyer_id:structural:system:has_column:SYS_HAS_PUR_BUY_001,manufacturing_graph_edge/purchase_order:buyer_id:structural:system:has_column:SYS_HAS_PUR_BUY_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:buyer_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_BUY_001,,,,,,,,
202,purchase_order:site_id:structural:system:has_column:SYS_HAS_PUR_SIT_001,manufacturing_graph_edge/purchase_order:site_id:structural:system:has_column:SYS_HAS_PUR_SIT_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:site_id:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_SIT_001,,,,,,,,
203,purchase_order:created_at:structural:system:has_column:SYS_HAS_PUR_CRE_001,manufacturing_graph_edge/purchase_order:created_at:structural:system:has_column:SYS_HAS_PUR_CRE_001,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_PUR_CRE_001,,,,,,,,
204,receivable:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_002,manufacturing_graph_edge/receivable:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_002,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:invoice_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INV_002,,,,,,,,
205,receivable:order_id:structural:system:has_column:SYS_HAS_REC_ORD_001,manufacturing_graph_edge/receivable:order_id:structural:system:has_column:SYS_HAS_REC_ORD_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:order_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_ORD_001,,,,,,,,
206,receivable:customer_name:structural:system:has_column:SYS_HAS_REC_CUS_001,manufacturing_graph_edge/receivable:customer_name:structural:system:has_column:SYS_HAS_REC_CUS_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:customer_name:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_CUS_001,,,,,,,,
207,receivable:invoice_number:structural:system:has_column:SYS_HAS_REC_INV_003,manufacturing_graph_edge/receivable:invoice_number:structural:system:has_column:SYS_HAS_REC_INV_003,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:invoice_number:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INV_003,,,,,,,,
208,receivable:invoice_date:structural:system:has_column:SYS_HAS_REC_INV_001,manufacturing_graph_edge/receivable:invoice_date:structural:system:has_column:SYS_HAS_REC_INV_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:invoice_date:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INV_001,,,,,,,,
209,receivable:due_date:structural:system:has_column:SYS_HAS_REC_DUE_001,manufacturing_graph_edge/receivable:due_date:structural:system:has_column:SYS_HAS_REC_DUE_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:due_date:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_DUE_001,,,,,,,,
210,receivable:amount_dollars:structural:system:has_column:SYS_HAS_REC_AMO_001,manufacturing_graph_edge/receivable:amount_dollars:structural:system:has_column:SYS_HAS_REC_AMO_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:amount_dollars:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_AMO_001,,,,,,,,
211,receivable:status:structural:system:has_column:SYS_HAS_REC_STA_001,manufacturing_graph_edge/receivable:status:structural:system:has_column:SYS_HAS_REC_STA_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:status:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_STA_001,,,,,,,,
212,receivable:payment_date:structural:system:has_column:SYS_HAS_REC_PAY_001,manufacturing_graph_edge/receivable:payment_date:structural:system:has_column:SYS_HAS_REC_PAY_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:payment_date:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_PAY_001,,,,,,,,
213,receivable:created_at:structural:system:has_column:SYS_HAS_REC_CRE_001,manufacturing_graph_edge/receivable:created_at:structural:system:has_column:SYS_HAS_REC_CRE_001,manufacturing_graph_node/receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_CRE_001,,,,,,,,
214,receivable_line:receivable_line_id:structural:system:has_column:SYS_HAS_REC_REC_001,manufacturing_graph_edge/receivable_line:receivable_line_id:structural:system:has_column:SYS_HAS_REC_REC_001,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:receivable_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_REC_001,,,,,,,,
215,receivable_line:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_004,manufacturing_graph_edge/receivable_line:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_004,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:invoice_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INV_004,,,,,,,,
216,receivable_line:line_no:structural:system:has_column:SYS_HAS_REC_LIN_001,manufacturing_graph_edge/receivable_line:line_no:structural:system:has_column:SYS_HAS_REC_LIN_001,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:line_no:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_LIN_001,,,,,,,,
217,receivable_line:order_id:structural:system:has_column:SYS_HAS_REC_ORD_002,manufacturing_graph_edge/receivable_line:order_id:structural:system:has_column:SYS_HAS_REC_ORD_002,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:order_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_ORD_002,,,,,,,,
218,receivable_line:part_id:structural:system:has_column:SYS_HAS_REC_PAR_001,manufacturing_graph_edge/receivable_line:part_id:structural:system:has_column:SYS_HAS_REC_PAR_001,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_PAR_001,,,,,,,,
219,receivable_line:qty:structural:system:has_column:SYS_HAS_REC_QTY_001,manufacturing_graph_edge/receivable_line:qty:structural:system:has_column:SYS_HAS_REC_QTY_001,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:qty:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_QTY_001,,,,,,,,
220,receivable_line:amount:structural:system:has_column:SYS_HAS_REC_AMO_002,manufacturing_graph_edge/receivable_line:amount:structural:system:has_column:SYS_HAS_REC_AMO_002,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_AMO_002,,,,,,,,
221,receivable_line:order_line_id:structural:system:has_column:SYS_HAS_REC_ORD_003,manufacturing_graph_edge/receivable_line:order_line_id:structural:system:has_column:SYS_HAS_REC_ORD_003,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:order_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_ORD_003,,,,,,,,
222,receivable_line:shipment_line_id:structural:system:has_column:SYS_HAS_REC_SHI_001,manufacturing_graph_edge/receivable_line:shipment_line_id:structural:system:has_column:SYS_HAS_REC_SHI_001,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:shipment_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_SHI_001,,,,,,,,
223,receivable_line:created_at:structural:system:has_column:SYS_HAS_REC_CRE_002,manufacturing_graph_edge/receivable_line:created_at:structural:system:has_column:SYS_HAS_REC_CRE_002,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_CRE_002,,,,,,,,
224,receivable_payment:payment_id:structural:system:has_column:SYS_HAS_REC_PAY_003,manufacturing_graph_edge/receivable_payment:payment_id:structural:system:has_column:SYS_HAS_REC_PAY_003,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:payment_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_PAY_003,,,,,,,,
225,receivable_payment:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_005,manufacturing_graph_edge/receivable_payment:invoice_id:structural:system:has_column:SYS_HAS_REC_INV_005,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:invoice_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INV_005,,,,,,,,
226,receivable_payment:installment_no:structural:system:has_column:SYS_HAS_REC_INS_001,manufacturing_graph_edge/receivable_payment:installment_no:structural:system:has_column:SYS_HAS_REC_INS_001,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:installment_no:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_INS_001,,,,,,,,
227,receivable_payment:payment_date:structural:system:has_column:SYS_HAS_REC_PAY_002,manufacturing_graph_edge/receivable_payment:payment_date:structural:system:has_column:SYS_HAS_REC_PAY_002,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:payment_date:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_PAY_002,,,,,,,,
228,receivable_payment:amount:structural:system:has_column:SYS_HAS_REC_AMO_003,manufacturing_graph_edge/receivable_payment:amount:structural:system:has_column:SYS_HAS_REC_AMO_003,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_AMO_003,,,,,,,,
229,receivable_payment:source_event_id:structural:system:has_column:SYS_HAS_REC_SOU_001,manufacturing_graph_edge/receivable_payment:source_event_id:structural:system:has_column:SYS_HAS_REC_SOU_001,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:source_event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_SOU_001,,,,,,,,
230,receivable_payment:created_at:structural:system:has_column:SYS_HAS_REC_CRE_003,manufacturing_graph_edge/receivable_payment:created_at:structural:system:has_column:SYS_HAS_REC_CRE_003,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_CRE_003,,,,,,,,
231,receiving:receipt_id:structural:system:has_column:SYS_HAS_REC_REC_003,manufacturing_graph_edge/receiving:receipt_id:structural:system:has_column:SYS_HAS_REC_REC_003,manufacturing_graph_node/receiving:entity:structural:system:none:none,manufacturing_graph_node/receiving:receipt_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_REC_003,,,,,,,,
232,receiving:po_id:structural:system:has_column:SYS_HAS_REC_POI_001,manufacturing_graph_edge/receiving:po_id:structural:system:has_column:SYS_HAS_REC_POI_001,manufacturing_graph_node/receiving:entity:structural:system:none:none,manufacturing_graph_node/receiving:po_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_POI_001,,,,,,,,
233,receiving:supplier_id:structural:system:has_column:SYS_HAS_REC_SUP_001,manufacturing_graph_edge/receiving:supplier_id:structural:system:has_column:SYS_HAS_REC_SUP_001,manufacturing_graph_node/receiving:entity:structural:system:none:none,manufacturing_graph_node/receiving:supplier_id:structural:system:none:none,structural,has_column,system,SYS_HAS_REC_SUP_001,,,,,,,,
