part_id,part_description,part_class,unit_of_measure,unit_cost,lead_time_days,reorder_point,on_hand_qty,revision,cage_code,drawing_number,material_spec,planner_code,buyer_code,safety_stock,active,created_at,commodity_code
HDW-53015,"Washer, Wing Station 42",HARDWARE,EA,711.94,8,7.0,145.0,C,36481,DWG-HDW-53015,,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53016,"Cotter Pin, Fwd Fuselage",HARDWARE,EA,934.91,27,40.0,114.0,B,31864,DWG-HDW-53016,,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53017,"Shear Bolt, MLG Bay",HARDWARE,EA,636.64,33,41.0,199.0,C,10063,DWG-HDW-53017,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53018,"Clevis Pin, Aft Pylon",HARDWARE,EA,705.65,40,38.0,194.0,C,66450,DWG-HDW-53018,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53019,"Blind Rivet, Center Wing Box",HARDWARE,EA,462.86,13,35.0,237.0,C,20197,DWG-HDW-53019,,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53020,"Hi-Lok Pin, Empennage",HARDWARE,EA,795.19,19,12.0,92.0,A,13252,DWG-HDW-53020,,ENGINEERING,BUYER-10,1.0,1,2026-09-21 14:38:00,HARDWARE
RMT-54001,"Aluminum Extrusion, Fwd Fuselage",RAW,IN,712.67,25,40.0,86.0,A,99632,DWG-RMT-54001,2024-T3,ENGINEERING,BUYER-10,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54002,"Inconel Rod, Wing Station 42",RAW,IN,606.5,26,31.0,141.0,A,18521,DWG-RMT-54002,304 SS,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54003,"Aluminum Extrusion, Flap Track",RAW,LB,52.65,17,26.0,66.0,A,80046,DWG-RMT-54003,AMS 4911,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54004,"Aluminum Plate, Nacelle Assy",RAW,LB,877.32,26,37.0,159.0,B,69899,DWG-RMT-54004,4130 Steel,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54005,"Stainless Bar, Empennage",RAW,LB,150.71,21,36.0,94.0,B,33676,DWG-RMT-54005,7075-T7351,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54006,"Inconel Rod, Center Wing Box",RAW,FT,263.18,32,35.0,239.0,B,20533,DWG-RMT-54006,AMS 5510,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54007,"Titanium Sheet, Aft Pylon",RAW,IN,341.73,8,22.0,196.0,B,54226,DWG-RMT-54007,AMS 5662,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54008,"Steel Tube, MLG Bay",RAW,LB,551.52,23,25.0,117.0,C,58159,DWG-RMT-54008,6061-T6,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54009,"Stainless Bar, Fwd Fuselage",RAW,IN,603.63,31,16.0,88.0,C,59208,DWG-RMT-54009,2024-T3,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54010,"Titanium Sheet, Aft Pylon",RAW,IN,133.81,47,14.0,80.0,B,98130,DWG-RMT-54010,AMS 5662,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54011,"Steel Tube, Center Wing Box",RAW,FT,181.98,43,27.0,219.0,C,38725,DWG-RMT-54011,AMS 5510,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54012,"Stainless Bar, Empennage",RAW,IN,667.35,23,28.0,188.0,A,49436,DWG-RMT-54012,7075-T7351,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54013,"Steel Tube, Nacelle Assy",RAW,FT,860.28,30,29.0,71.0,B,10107,DWG-RMT-54013,4130 Steel,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54014,"Stainless Bar, Flap Track",RAW,FT,252.41,15,26.0,100.0,B,71182,DWG-RMT-54014,AMS 4911,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,RAW-METAL
RMT-54015,"Steel Tube, Wing Station 42",RAW,IN,699.3,9,7.0,71.0,C,47849,DWG-RMT-54015,304 SS,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,RAW-METAL
OSP-55001,"Passivate Manifold, Flap Track",OUTSIDE_SERVICE,EA,24.65,17,26.0,228.0,A,26366,DWG-OSP-55001,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,OSP-THERMAL
OSP-55002,"Anodize Detail, MLG Bay",OUTSIDE_SERVICE,EA,664.64,47,33.0,101.0,C,94551,DWG-OSP-55002,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,OSP-FINISHING
OSP-55003,"Heat-Treat Lot, Fwd Fuselage",OUTSIDE_SERVICE,EA,570.51,24,40.0,146.0,A,92112,DWG-OSP-55003,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,OSP-NDT
OSP-55004,"Passivate Manifold, Center Wing Box",OUTSIDE_SERVICE,EA,256.7,31,43.0,143.0,C,47397,DWG-OSP-55004,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,OSP-NDT
OSP-55005,"Heat-Treat Lot, Aft Pylon",OUTSIDE_SERVICE,EA,40.69,8,22.0,182.0,C,77170,DWG-OSP-55005,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,OSP-THERMAL
BRKT-70001,"Angle Bracket, Machined Detail",MAKE,EA,24.85,12,10.0,16.0,B,1CQD7,DWG-BRKT-70001,6061-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:01,MACHINED-DETAIL
